马尔代夫的第一大支柱产业是什么？	旅游业
澳大利亚是南半球面积第几大的国家？	二
阿根廷国家足球队赢得过多少次美洲杯冠军？	十四
平均人口密度最高的大洲是？	欧洲
中国历史上最杰出的浪漫主义诗人是？	李白
甲午战争爆发的标志是？	丰岛海战
《华英字典》的作者是？	马礼逊
《资治通鉴》的撰写一共耗时多少年？	19
世界上首位从南坡登上珠穆朗玛峰的女性的国籍是？	日本
最后宣布废除奴隶制度的行政地区是？	毛里塔尼亚
国际海洋法法庭的总部位于哪个国家？	德国
《苏德互不侵犯条约》的签订地点是？	莫斯科
莫言获得诺贝尔文学奖的年份是？	2012
元谋人化石发现于中国的哪一省份？	云南
美国的当代人类学通常划分为几大分支？	四
“中华民族”一词最早由谁提出？	梁启超
欧洲的第一所大学是？	博洛尼亚大学
图书馆学最早由谁提出？	马丁·施莱廷格
约翰纳什的博士学位是在哪所大学获得的？	普林斯顿大学
现存所有老虎亚种中最小的亚种是？	苏门答腊虎
目前的北回归线位置是由哪个组织确定的？	联合国教科文组织
首先分离出元素氟的化学家是？	亨利·莫瓦桑
第一位获得菲尔兹奖的女性是？	玛丽安·米尔札哈尼
薛定谔方程的提出者的国籍是？	奥地利
太阳系中唯一一颗没有磁场的行星是？	金星
位于双子座和狮子座之间的星座是？	巨蟹座
世界最大的流动性沙漠是？	塔克拉玛干沙漠
人类合成的第一种抗菌药是？	磺胺
第一种以人工合成无机物质而得到的有机化合物是？	尿素
中国历史上规模最大的一套丛书是？	四库全书
世界上唯一拥有三个首都的国家是？	南非
中国近代第一所国立综合性大学是？	北京大学
马达加斯加位于哪个大洲？	非洲
经典力学的基础是？	牛顿运动定律
到2012年为止，联合国共有多少个成员国？	193
北京奥运会上点燃主火炬的人一共获得过多少个世界冠军？	14
第一位获得英国皇家音乐学院荣誉博士学位的中国人获得的第二个荣誉博士学位是由哪个学院授予的？	曼哈顿音乐学院
1945-1950年间收藏清明上河图的博物馆位于哪一座城市？	沈阳
巩俐获得香港电影金像奖最佳女主角的影片导演是谁？	张艺谋
打进世界杯历史上最伟大进球的球员退役于哪一年？	1997年
西班牙第二大城市属于哪一种气候？	地中海式气候
现代工业制备氧化性最强的单质的方法是？	电解法
美国第一颗实验性原子弹在哪里试爆成功？	新墨西哥州
拥有世界前两位的母语使用者的语言是？	汉语和西班牙语
荷兰外交政策的四项基本立场是？	大西洋区域合作、欧洲整合、国际发展、国际法
世界上人口密度前两位的国家是？	摩纳哥、新加坡
任天堂的首间零售商店位于哪个城市？	纽约
人类最早发现的抗生素的发现者在哪一年获得了诺贝尔生理医学奖？	1945年
牛津大学培养了几位获得过菲尔兹奖的数学家？	三
世界四大长河是？	尼罗河、亚马逊河、长江、密西西比河
金庸的封笔之作是？	鹿鼎记
中国四大佛教名山之首位于哪一个省份？	山西省
历史上共有多少个朝代在西安建都？	13
1916年至1927年，北京大学的校长是？	蔡元培
江南三大名湖分别是？ 西湖、玄武湖、南湖
婉约派的女性词人代表是？	李清照
中国象棋双方各有多少枚棋子？	16
桌球在台湾指的是哪一种运动？	乒乓球
截止到2012年，联合国共有多少个成员国？	193
全球领土面积最小的国家实施什么样的政治体制？	政教合一
文艺复兴的发源于意大利的哪个城市？	佛罗伦萨
西班牙国家德比的两支球队一共夺得过多少次西甲冠军？52
莱昂纳多第一次获得奥斯卡提名是多少岁？	19
唯一获得香港电影金像奖最佳女配角的中国大陆演员是？	周迅
北京市的气候属于？	暖温带半湿润大陆性季风气候
开普勒写过的研究雪花结构的书书名是？	六角的雪花
光学显微镜最高能放大多少倍？	1600
引发香蕉细胞程序性死亡的疾病是？	黄叶病
目前市面上流通的主要人民币是第几套？	五
中国气温最低的县份是？	漠河
中国人口最多的少数民族是？	壮族
《难忘今宵》是为第几届春晚创作的？	二
《资治通鉴》是一部什么体裁的史学著作？	编年体
世界第二高峰的海拔是？	8611米
单片机的最大优点是？	体积小
Python的官方解释器采用什么语言编写？	C语言
百度公司的两位创始人是？	李彦宏、徐勇
江户川柯南的真实身份是？	工藤新一
电视剧《还珠格格》中五阿哥的扮演者是？	苏有朋
约翰·福布斯·纳什的国籍是？	美国
开创了人类历史上通过数学算法计算圆周率近似值先河的数学家是？	阿基米德
蓝牙的技术标准是由哪个组织制定的？	蓝牙技术联盟
世界上第一只手表产生于哪一年？	1868年
世界时是以什么的自转为基准得到的时间尺度？	地球
波长位于微波和可见光之间的电磁波是？	红外线北京奥运会上点燃主火炬的人一共获得过多少个世界冠军？	14
第一位获得英国皇家音乐学院荣誉博士学位的中国人获得的第二个荣誉博士学位是由哪个学院授予的？	曼哈顿音乐学院
1945-1950年间收藏清明上河图的博物馆位于哪一座城市？	沈阳
巩俐获得香港电影金像奖最佳女主角的影片导演是谁？	张艺谋
打进世界杯历史上最伟大进球的球员退役于哪一年？	1997年
西班牙第二大城市属于哪一种气候？	地中海式气候
现代工业制备氧化性最强的单质的方法是？	电解法
美国第一颗实验性原子弹在哪里试爆成功？	新墨西哥州
拥有世界前两位的母语使用者的语言是？	汉语和西班牙语
荷兰外交政策的四项基本立场是？	大西洋区域合作、欧洲整合、国际发展、国际法
世界上人口密度前两位的国家是？	摩纳哥、新加坡
任天堂的首间零售商店位于哪个城市？	纽约
人类最早发现的抗生素的发现者在哪一年获得了诺贝尔生理医学奖？	1945年
牛津大学培养了几位获得过菲尔兹奖的数学家？	三
世界四大长河是？	尼罗河、亚马逊河、长江、密西西比河
金庸的封笔之作是？	鹿鼎记
中国四大佛教名山之首位于哪一个省份？	山西省
历史上共有多少个朝代在西安建都？	13
1916年至1927年，北京大学的校长是？	蔡元培
江南三大名湖分别是？ 西湖、玄武湖、南湖
婉约派的女性词人代表是？	李清照
中国象棋双方各有多少枚棋子？	16
桌球在台湾指的是哪一种运动？	乒乓球
截止到2012年，联合国共有多少个成员国？	193
全球领土面积最小的国家实施什么样的政治体制？	政教合一
文艺复兴的发源于意大利的哪个城市？	佛罗伦萨
西班牙国家德比的两支球队一共夺得过多少次西甲冠军？52
莱昂纳多第一次获得奥斯卡提名是多少岁？	19
唯一获得香港电影金像奖最佳女配角的中国大陆演员是？	周迅
北京市的气候属于？	暖温带半湿润大陆性季风气候
开普勒写过的研究雪花结构的书书名是？	六角的雪花
光学显微镜最高能放大多少倍？	1600
引发香蕉细胞程序性死亡的疾病是？	黄叶病
目前市面上流通的主要人民币是第几套？	五
中国气温最低的县份是？	漠河
中国人口最多的少数民族是？	壮族
